"iati_id","name","country","source_type","org_type","ref_score"
"NL-KVK-20093733","Heifer Nederland","NL","primary_source","22",0.0833333333335
"NL-KVK-27108436","Oxfam Novib","NL","primary_source","21",0.3253968253965
"NL-KVK-27327087","Akvo","NL","primary_source","21",0.404112321620327
"NL-KVK-30204842","AgriProFocus","NL","primary_source","60",NA
"NL-KVK-30214009","PAX 07-2016","NL","primary_source","21",NA
"NL-KVK-30285304","Humana people to people","NL","primary_source","21",0
"NL-KVK-34214586","Partos","NL","primary_source","22",0.2625
"NL-KVK-34308169","Free a Girl","NL","primary_source","60",0.4597222222226
"NL-KVK-40530953","Amnesty Int-NL 2Q2016","NL","primary_source","21",0
"NL-KVK-41009723","ZOA","NL","primary_source","21",0.424351387728526
"NL-KVK-41022454","Red een Kind","NL","primary_source","21",NA
"NL-KVK-41150939","Solidaridad Netherlands","NL","primary_source","21",0.5
"NL-KVK-41158230","Stichting CARE Nederland","NL","primary_source","21",0.00757575757577273
"NL-KVK-41180885"," 2016-04-30 Q1","NL","primary_source","21",0.111111111111111
"NL-KVK-41188664","ICS 2013","NL","primary_source","21",0.166666666667
"NL-KVK-41201463","Save the Children NL organisational dataset","NL","primary_source","21",NA
"NL-KVK-41207989","Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland","NL","primary_source","21",NA
"NL-KVK-41215393","WCH-Organisational-File","NL","primary_source","21",NA
"NL-KVK-41223308","IATI","NL","primary_source","80",0
"NL-KVK-41236410","Dorcas","NL","primary_source","21",0.388888888889
"NL-KVK-51018586","Zimmerman and Zimmerman","NL","primary_source","70",0.75
"NL-KVK-51756811","Solidaridad","NL","primary_source","21",NA
"XM-DAC-7","Netherlands Ministry of Foreign Affairs","NL","primary_source","10",0.5
NA,NA,NA,NA,NA,NA
